x	y	z	strain	u	v	w
1.720721e-01	6.500000e-01	0.000000e+00	3.110511e-10	1.186249e-05	-4.505898e-07	1.047008e-04
2.021021e-01	6.500000e-01	0.000000e+00	1.158495e-09	1.186251e-05	-1.063902e-06	2.471934e-04
2.321321e-01	6.500000e-01	0.000000e+00	1.308707e-09	1.186255e-05	-1.677187e-06	3.896864e-04
2.621622e-01	6.500000e-01	0.000000e+00	9.736680e-10	1.186258e-05	-2.290439e-06	5.321800e-04
3.000000e-01	7.014515e-01	0.000000e+00	-1.171238e-05	1.081250e-05	-3.015232e-06	6.486846e-04
2.486486e-01	7.000000e-01	0.000000e+00	3.437271e-09	1.084157e-05	-2.014355e-06	4.277693e-04
2.186186e-01	7.000000e-01	0.000000e+00	3.902471e-09	1.084146e-05	-1.401150e-06	2.975407e-04
1.885886e-01	7.000000e-01	0.000000e+00	2.683828e-09	1.084136e-05	-7.878918e-07	1.673135e-04
1.585586e-01	7.000000e-01	0.000000e+00	3.294664e-10	1.084131e-05	-1.745928e-07	3.708713e-05
1.285285e-01	7.000000e-01	0.000000e+00	-2.240070e-09	1.084134e-05	4.387165e-07	-9.313911e-05
9.849850e-02	7.000000e-01	0.000000e+00	-4.078818e-09	1.084144e-05	1.052001e-06	-2.233661e-04
6.846847e-02	7.000000e-01	0.000000e+00	-4.421022e-09	1.084157e-05	1.665234e-06	-3.535946e-04
3.843844e-02	7.000000e-01	0.000000e+00	-4.183848e-09	1.084170e-05	2.278404e-06	-4.838246e-04
0.000000e+00	7.515516e-01	0.000000e+00	1.064582e-05	9.788828e-06	3.013696e-06	-5.873575e-04
5.075075e-02	7.500000e-01	0.000000e+00	-6.243847e-09	9.820817e-06	2.026767e-06	-3.898923e-04
8.078078e-02	7.500000e-01	0.000000e+00	-8.991358e-09	9.820569e-06	1.413686e-06	-2.719258e-04
1.108108e-01	7.500000e-01	0.000000e+00	-6.834747e-09	9.820323e-06	8.005026e-07	-1.539624e-04
1.408408e-01	7.500000e-01	0.000000e+00	-2.097252e-09	9.820187e-06	1.872460e-07	-3.600137e-05
1.708709e-01	7.500000e-01	0.000000e+00	3.113816e-09	9.820205e-06	-4.260281e-07	8.195892e-05
2.009009e-01	7.500000e-01	0.000000e+00	7.029252e-09	9.820365e-06	-1.039258e-06	1.999203e-04
2.309309e-01	7.500000e-01	0.000000e+00	7.933287e-09	9.820599e-06	-1.652399e-06	3.178842e-04
2.609610e-01	7.500000e-01	0.000000e+00	5.296288e-09	9.820807e-06	-2.265440e-06	4.358509e-04
3.000000e-01	8.016517e-01	0.000000e+00	-1.140833e-05	8.767656e-06	-3.013330e-06	5.259521e-04
2.498498e-01	8.000000e-01	0.000000e+00	1.296401e-08	8.800281e-06	-2.038038e-06	3.514354e-04
2.198198e-01	8.000000e-01	0.000000e+00	1.623557e-08	8.799822e-06	-1.425234e-06	2.457288e-04
1.897898e-01	8.000000e-01	0.000000e+00	1.213504e-08	8.799383e-06	-8.122399e-07	1.400279e-04
1.597598e-01	8.000000e-01	0.000000e+00	3.210213e-09	8.799147e-06	-1.991008e-07	3.433121e-05
1.297297e-01	8.000000e-01	0.000000e+00	-7.128362e-09	8.799209e-06	4.140805e-07	-7.136441e-05
9.969970e-02	8.000000e-01	0.000000e+00	-1.495617e-08	8.799550e-06	1.027187e-06	-1.770625e-04
6.966967e-02	8.000000e-01	0.000000e+00	-1.750406e-08	8.800050e-06	1.640133e-06	-2.827659e-04
3.963964e-02	8.000000e-01	0.000000e+00	-1.375575e-08	8.800536e-06	2.252883e-06	-3.884753e-04
0.000000e+00	8.517518e-01	0.000000e+00	8.932050e-06	7.743424e-06	3.007859e-06	-4.646621e-04
4.954955e-02	8.500000e-01	0.000000e+00	-2.610629e-08	7.780651e-06	2.049346e-06	-3.125885e-04
7.957958e-02	8.500000e-01	0.000000e+00	-3.190880e-08	7.779737e-06	1.437097e-06	-2.191324e-04
1.096096e-01	8.500000e-01	0.000000e+00	-2.416209e-08	7.778864e-06	8.245007e-07	-1.256876e-04
1.396396e-01	8.500000e-01	0.000000e+00	-6.850338e-09	7.778379e-06	2.116334e-07	-3.225112e-05
1.696697e-01	8.500000e-01	0.000000e+00	1.269973e-08	7.778468e-06	-4.013114e-07	6.118286e-05
1.996997e-01	8.500000e-01	0.000000e+00	2.753580e-08	7.779093e-06	-1.014110e-06	1.546213e-04
2.297297e-01	8.500000e-01	0.000000e+00	3.089395e-08	7.780007e-06	-1.626595e-06	2.480693e-04
2.597598e-01	8.500000e-01	0.000000e+00	1.904960e-08	7.780808e-06	-2.238726e-06	3.415280e-04
3.000000e-01	9.018519e-01	0.000000e+00	-1.152362e-05	6.725031e-06	-3.003932e-06	4.033821e-04
2.510511e-01	9.000000e-01	0.000000e+00	4.694334e-08	6.762488e-06	-2.058399e-06	2.732238e-04
2.210210e-01	9.000000e-01	0.000000e+00	6.003451e-08	6.760811e-06	-1.447330e-06	1.920023e-04
1.909910e-01	9.000000e-01	0.000000e+00	4.580893e-08	6.759163e-06	-8.356033e-07	1.108017e-04
1.609610e-01	9.000000e-01	0.000000e+00	1.380327e-08	6.758238e-06	-2.233708e-07	2.961704e-05
1.309309e-01	9.000000e-01	0.000000e+00	-2.276872e-08	6.758391e-06	3.890154e-07	-5.156278e-05
1.009009e-01	9.000000e-01	0.000000e+00	-5.290938e-08	6.759568e-06	1.001144e-06	-1.327509e-04
7.087087e-02	9.000000e-01	0.000000e+00	-5.884119e-08	6.761294e-06	1.612715e-06	-2.139571e-04
4.084084e-02	9.000000e-01	0.000000e+00	-3.612836e-08	6.762787e-06	2.223649e-06	-2.951836e-04
0.000000e+00	9.519520e-01	0.000000e+00	1.099075e-05	5.708502e-06	2.994902e-06	-3.423085e-04
4.834835e-02	9.500000e-01	0.000000e+00	-8.589199e-08	5.747478e-06	2.064754e-06	-2.335102e-04
7.837838e-02	9.500000e-01	0.000000e+00	-1.102108e-07	5.744411e-06	1.456044e-06	-1.644891e-04
1.084084e-01	9.500000e-01	0.000000e+00	-8.544570e-08	5.741356e-06	8.461816e-07	-9.550636e-05
1.384384e-01	9.500000e-01	0.000000e+00	-2.726585e-08	5.739602e-06	2.354107e-07	-2.655355e-05
1.684685e-01	9.500000e-01	0.000000e+00	4.172126e-08	5.739843e-06	-3.756454e-07	4.238983e-05
1.984985e-01	9.500000e-01	0.000000e+00	9.470635e-08	5.741992e-06	-9.862481e-07	1.113481e-04
2.285285e-01	9.500000e-01	0.000000e+00	1.101894e-07	5.745200e-06	-1.595842e-06	1.803398e-04
2.585586e-01	9.500000e-01	0.000000e+00	7.411905e-08	5.748081e-06	-2.204301e-06	2.493696e-04
3.000000e-01	9.468969e-01	0.000000e+00	1.118906e-05	5.811654e-06	-2.993284e-06	3.484426e-04
5.045045e-02	5.045045e-02	0.000000e+00	3.333097e-13	-1.243735e-13	-3.373216e-13	-7.642180e-12
1.000000e-01	1.000000e-01	0.000000e+00	3.014082e-13	-1.076844e-13	-3.228925e-13	-1.446843e-11
1.495495e-01	1.495495e-01	0.000000e+00	2.958302e-13	-9.733501e-14	-3.036448e-13	-2.069762e-11
2.000000e-01	2.000000e-01	0.000000e+00	3.234547e-13	-9.290498e-14	-2.769707e-13	-2.643353e-11
2.495495e-01	2.495495e-01	0.000000e+00	3.427689e-13	-9.419503e-14	-2.426099e-13	-3.143263e-11
2.504505e-01	3.495495e-01	0.000000e+00	5.147603e-13	-8.499335e-14	-1.332953e-13	-3.835205e-11
2.000000e-01	4.000000e-01	0.000000e+00	5.408582e-13	-6.956636e-14	-6.466996e-14	-3.987689e-11
1.504505e-01	4.495495e-01	0.000000e+00	5.668863e-13	-5.646747e-14	3.614927e-15	-4.029570e-11
1.000000e-01	5.000000e-01	0.000000e+00	5.806237e-13	-4.440468e-14	7.365270e-14	-3.957103e-11
5.045045e-02	5.495495e-01	0.000000e+00	5.327064e-13	-3.232767e-14	1.409113e-13	-3.771795e-11
5.045045e-02	6.504505e-01	0.000000e+00	2.437432e-13	-2.688737e-14	2.393098e-13	-3.025841e-11
1.000000e-01	7.000000e-01	0.000000e+00	2.309922e-13	-2.641002e-14	2.626265e-13	-2.536322e-11
1.495495e-01	7.495495e-01	0.000000e+00	1.246038e-13	-1.969984e-14	2.745269e-13	-2.004369e-11
2.000000e-01	8.000000e-01	0.000000e+00	-3.636213e-14	-1.035078e-14	2.703711e-13	-1.441057e-11
2.504505e-01	8.504505e-01	0.000000e+00	-2.920625e-13	-2.232063e-16	2.440808e-13	-8.914192e-12
